"gene","avg_log2FC","p_val","p_val_adj","pct_roi","pct_rest","sample","roi","reference","test","expression_assay","logfc_cutoff","fdr_cutoff","min_pct","n_spots_roi","n_spots_rest","passes_selected_filters","complete_gene_table","analysis_format_version","n_genes_tested","Moran_I","Moran_padj","Moran_neglog10_padj","spatial_class"
"AC020656.1",3.4002,2.31306336143625e-06,4.56651536772438e-05,0.098,0.011,"Example_Visium","TLS","Rest","wilcox","SCT",0.25,0.05,0.05,41,1212,TRUE,FALSE,2,12793,0.0466876070816702,0.00153548963039064,2.81375311212832,"Weakly structured"
"CHST5",-3.3975,7.52432806651282e-09,2.56689943879729e-07,0.073,0.549,"Example_Visium","TLS","Rest","wilcox","SCT",0.25,0.05,0.05,41,1212,TRUE,FALSE,2,12793,0.252523826378504,1.87474472053305e-55,54.7270578607425,"Weakly structured"
"TNFRSF13C",3.3909,8.38746407782216e-16,1.10619410255236e-13,0.341,0.048,"Example_Visium","TLS","Rest","wilcox","SCT",0.25,0.05,0.05,41,1212,TRUE,FALSE,2,12793,0.0803607591537019,3.03814241171328e-07,6.51739187261555,"Weakly structured"
"SFRP2",3.3831,1.09061620986303e-05,0.000183582278589181,0.098,0.012,"Example_Visium","TLS","Rest","wilcox","SCT",0.25,0.05,0.05,41,1212,TRUE,FALSE,2,12793,0.05891388303009,9.27067618786798e-05,4.03288858797526,"Weakly structured"
"CDK5R1",3.371,4.81037847438307e-07,1.12093209148967e-05,0.122,0.015,"Example_Visium","TLS","Rest","wilcox","SCT",0.25,0.05,0.05,41,1212,TRUE,FALSE,2,12793,0.0295202386531484,0.030861841299655,1.51057816633431,"Weakly structured"
"CST4",3.371,1.61575619428293e-09,6.24482446932372e-08,0.146,0.015,"Example_Visium","TLS","Rest","wilcox","SCT",0.25,0.05,0.05,41,1212,TRUE,FALSE,2,12793,0.0541046594266935,0.000331975745598516,3.47889364502341,"Weakly structured"
"TESPA1",3.371,1.61575619428293e-09,6.24482446932372e-08,0.146,0.015,"Example_Visium","TLS","Rest","wilcox","SCT",0.25,0.05,0.05,41,1212,TRUE,FALSE,2,12793,0.0147610528395122,0.172098671107531,0.76422248314655,"Not structured"
"TREML2",3.371,4.07225961305282e-09,1.45928339579229e-07,0.146,0.016,"Example_Visium","TLS","Rest","wilcox","SCT",0.25,0.05,0.05,41,1212,TRUE,FALSE,2,12793,0.0212703583061888,0.0886943858689541,1.05210386904424,"Not structured"
"MEP1A",-3.3532,1.02020955958662e-10,4.8711079999773e-09,0.244,0.704,"Example_Visium","TLS","Rest","wilcox","SCT",0.25,0.05,0.05,41,1212,TRUE,FALSE,2,12793,0.668023863558661,0,375.212049039445,"Spatially structured"
"AKR1B10",-3.348,6.0513468595859e-05,0.000823562557177472,0.024,0.322,"Example_Visium","TLS","Rest","wilcox","SCT",0.25,0.05,0.05,41,1212,TRUE,FALSE,2,12793,0.308557009726957,6.03304316359985e-82,81.2194635674987,"Spatially structured"
